trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
71,0,71,0,113.2797461250002,114.266919959,114.27493270899959,up,1,0.4920675410003241,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
72,0,72,0,114.77622570899985,115.75856541699977,115.76454058400031,up,0,0.5163974569995844,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
73,0,73,0,116.29148554200037,117.27498500000002,117.28105933400002,down,0,0.48434033199919213,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
74,0,74,0,117.77605929200035,118.75833341700036,118.7756894590002,up,1,0.5481554580001102,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
75,0,75,0,119.32638504199986,120.30858400000034,120.32537916700039,down,1,0.569783832000212,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
76,0,76,0,120.8957490419998,121.88265366700034,121.89212129200041,down,0,0.4651180410000961,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
77,0,77,0,122.3639370840001,123.34933504200035,123.3588678340002,up,0,0.4532945410001048,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
78,0,78,0,123.82543258399983,124.80876887500017,124.81483670899979,down,1,0.7426401659995463,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
79,0,79,0,125.57548954200047,126.5588176250003,126.56470650000028,up,1,0.8863490409994483,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
80,0,80,0,127.46317845900012,128.45064316699973,128.4587716670003,up,1,0.5167001240006357,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
81,0,81,0,128.99280275,129.97560341700046,129.9815613339997,up,0,0.4340252080000937,None,-2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
82,0,82,0,130.42687041699992,131.40902729200025,131.42585804200007,up,1,0.4370242490003875,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
83,0,83,0,131.8645484589997,132.849628209,132.8594702090004,up,0,0.39133229100025346,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
84,0,84,0,133.25915620900014,134.24249654200048,134.24848399999973,up,1,0.4883864999992511,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
85,0,85,0,134.74816399999963,135.73447133399986,135.74249658400004,up,0,0.5368599160001395,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
86,0,86,0,136.29200750000018,137.2760185420002,137.28234945900022,down,1,0.45357579099982104,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
87,0,87,0,137.747614334,138.73323591700046,138.7431121669997,up,1,0.576201707999644,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
88,0,88,0,139.32615754200015,140.30930474999968,140.31523037500028,up,1,0.5649352489999728,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
89,0,89,0,140.89335120899977,141.87605595900004,141.88204808400042,down,1,0.5502272499998071,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
