34.0873 	EXP 	grating: ori = -4.0
34.0873 	EXP 	Fixation: autoDraw = True
35.0716 	EXP 	grating: autoDraw = True
35.0774 	EXP 	Fixation: autoDraw = False
35.3625 	EXP 	New trial (rep=16, index=0): None
35.3661 	DATA 	Keypress: down
35.3713 	EXP 	grating: autoDraw = False
35.3713 	EXP 	Fixation: autoDraw = False
35.3713 	EXP 	grating: autoDraw = False
35.3713 	EXP 	grating: ori = 2.0
35.3713 	EXP 	Fixation: autoDraw = True
36.3555 	EXP 	grating: autoDraw = True
36.3615 	EXP 	Fixation: autoDraw = False
36.6446 	EXP 	grating: autoDraw = False
36.8187 	EXP 	New trial (rep=17, index=0): None
36.8223 	DATA 	Keypress: down
36.8267 	EXP 	Fixation: autoDraw = False
36.8267 	EXP 	grating: autoDraw = False
36.8267 	EXP 	grating: ori = 0.0
36.8267 	EXP 	Fixation: autoDraw = True
37.8136 	EXP 	grating: autoDraw = True
37.8218 	EXP 	Fixation: autoDraw = False
38.1110 	EXP 	grating: autoDraw = False
38.1294 	EXP 	New trial (rep=18, index=0): None
38.1332 	DATA 	Keypress: down
38.1381 	EXP 	Fixation: autoDraw = False
38.1381 	EXP 	grating: autoDraw = False
38.1381 	EXP 	grating: ori = 0.0
38.1381 	EXP 	Fixation: autoDraw = True
39.1219 	EXP 	grating: autoDraw = True
39.1282 	EXP 	Fixation: autoDraw = False
39.4114 	EXP 	grating: autoDraw = False
39.5801 	EXP 	New trial (rep=19, index=0): None
39.5837 	DATA 	Keypress: up
39.5884 	EXP 	Fixation: autoDraw = False
39.5884 	EXP 	grating: autoDraw = False
39.5884 	EXP 	grating: ori = 2.0
39.5884 	EXP 	Fixation: autoDraw = True
40.5718 	EXP 	grating: autoDraw = True
40.5778 	EXP 	Fixation: autoDraw = False
40.8726 	EXP 	grating: autoDraw = False
41.0531 	EXP 	New trial (rep=20, index=0): None
41.0567 	DATA 	Keypress: down
41.0611 	EXP 	Fixation: autoDraw = False
41.0611 	EXP 	grating: autoDraw = False
41.0611 	EXP 	grating: ori = -3.0
41.0611 	EXP 	Fixation: autoDraw = True
42.0471 	EXP 	grating: autoDraw = True
42.0553 	EXP 	Fixation: autoDraw = False
42.3444 	EXP 	grating: autoDraw = False
42.5020 	EXP 	New trial (rep=21, index=0): None
42.5056 	DATA 	Keypress: up
42.5098 	EXP 	Fixation: autoDraw = False
42.5098 	EXP 	grating: autoDraw = False
42.5098 	EXP 	grating: ori = 0.0
42.5098 	EXP 	Fixation: autoDraw = True
43.4970 	EXP 	grating: autoDraw = True
43.5054 	EXP 	Fixation: autoDraw = False
43.7943 	EXP 	grating: autoDraw = False
44.0464 	EXP 	New trial (rep=22, index=0): None
44.0500 	DATA 	Keypress: down
44.0550 	EXP 	Fixation: autoDraw = False
44.0550 	EXP 	grating: autoDraw = False
44.0550 	EXP 	grating: ori = 4.0
44.0550 	EXP 	Fixation: autoDraw = True
45.0389 	EXP 	grating: autoDraw = True
45.0448 	EXP 	Fixation: autoDraw = False
45.3283 	EXP 	grating: autoDraw = False
45.5308 	EXP 	New trial (rep=23, index=0): None
45.5347 	DATA 	Keypress: down
45.5398 	EXP 	Fixation: autoDraw = False
45.5398 	EXP 	grating: autoDraw = False
45.5398 	EXP 	grating: ori = 4.0
45.5398 	EXP 	Fixation: autoDraw = True
46.5221 	EXP 	grating: autoDraw = True
46.5286 	EXP 	Fixation: autoDraw = False
46.8116 	EXP 	grating: autoDraw = False
46.8817 	EXP 	New trial (rep=24, index=0): None
46.8855 	DATA 	Keypress: down
46.8901 	EXP 	Fixation: autoDraw = False
46.8901 	EXP 	grating: autoDraw = False
46.8901 	EXP 	grating: ori = -4.0
46.8901 	EXP 	Fixation: autoDraw = True
47.8721 	EXP 	grating: autoDraw = True
47.8894 	EXP 	Fixation: autoDraw = False
48.1615 	EXP 	grating: autoDraw = False
48.2134 	EXP 	New trial (rep=25, index=0): None
48.2170 	DATA 	Keypress: down
48.2222 	EXP 	Fixation: autoDraw = False
48.2222 	EXP 	grating: autoDraw = False
48.2222 	EXP 	grating: ori = 1.0
48.2222 	EXP 	Fixation: autoDraw = True
49.2058 	EXP 	grating: autoDraw = True
49.2118 	EXP 	Fixation: autoDraw = False
49.4948 	EXP 	grating: autoDraw = False
49.8142 	EXP 	New trial (rep=26, index=0): None
49.8179 	DATA 	Keypress: up
49.8231 	EXP 	Fixation: autoDraw = False
49.8231 	EXP 	grating: autoDraw = False
49.8231 	EXP 	grating: ori = 4.0
49.8231 	EXP 	Fixation: autoDraw = True
50.8056 	EXP 	grating: autoDraw = True
50.8121 	EXP 	Fixation: autoDraw = False
51.0948 	EXP 	grating: autoDraw = False
51.4142 	EXP 	New trial (rep=27, index=0): None
51.4181 	DATA 	Keypress: down
51.4232 	EXP 	Fixation: autoDraw = False
51.4232 	EXP 	grating: autoDraw = False
51.4232 	EXP 	grating: ori = 0.0
51.4232 	EXP 	Fixation: autoDraw = True
52.4057 	EXP 	grating: autoDraw = True
52.4115 	EXP 	Fixation: autoDraw = False
52.6952 	EXP 	grating: autoDraw = False
52.8303 	EXP 	New trial (rep=28, index=0): None
52.8338 	DATA 	Keypress: up
52.8389 	EXP 	Fixation: autoDraw = False
52.8389 	EXP 	grating: autoDraw = False
52.8389 	EXP 	grating: ori = 0.0
52.8389 	EXP 	Fixation: autoDraw = True
53.8224 	EXP 	grating: autoDraw = True
53.8285 	EXP 	Fixation: autoDraw = False
54.1115 	EXP 	grating: autoDraw = False
54.1803 	EXP 	New trial (rep=29, index=0): None
54.1840 	DATA 	Keypress: up
54.1888 	EXP 	Fixation: autoDraw = False
54.1888 	EXP 	grating: autoDraw = False
54.1888 	EXP 	grating: ori = 0.0
54.1888 	EXP 	Fixation: autoDraw = True
55.1724 	EXP 	grating: autoDraw = True
55.1784 	EXP 	Fixation: autoDraw = False
55.4621 	EXP 	grating: autoDraw = False
55.6146 	EXP 	New trial (rep=30, index=0): None
55.6184 	DATA 	Keypress: up
55.6237 	EXP 	Fixation: autoDraw = False
55.6237 	EXP 	grating: autoDraw = False
55.6237 	EXP 	grating: ori = 3.0
55.6237 	EXP 	Fixation: autoDraw = True
56.6058 	EXP 	grating: autoDraw = True
56.6231 	EXP 	Fixation: autoDraw = False
56.8956 	EXP 	grating: autoDraw = False
56.9309 	EXP 	New trial (rep=31, index=0): None
56.9347 	DATA 	Keypress: up
56.9397 	EXP 	Fixation: autoDraw = False
56.9397 	EXP 	grating: autoDraw = False
56.9397 	EXP 	grating: ori = 4.0
56.9397 	EXP 	Fixation: autoDraw = True
57.9227 	EXP 	grating: autoDraw = True
57.9291 	EXP 	Fixation: autoDraw = False
58.2111 	EXP 	grating: autoDraw = False
58.2974 	EXP 	New trial (rep=32, index=0): None
58.3011 	DATA 	Keypress: down
58.3062 	EXP 	Fixation: autoDraw = False
58.3062 	EXP 	grating: autoDraw = False
58.3062 	EXP 	grating: ori = 1.0
58.3062 	EXP 	Fixation: autoDraw = True
59.2893 	EXP 	grating: autoDraw = True
59.2960 	EXP 	Fixation: autoDraw = False
59.5697 	EXP 	New trial (rep=33, index=0): None
59.5732 	DATA 	Keypress: down
59.5773 	EXP 	Fixation: autoDraw = False
59.5773 	EXP 	grating: autoDraw = False
59.5773 	EXP 	grating: ori = 0.0
59.5773 	EXP 	Fixation: autoDraw = True
60.5629 	EXP 	grating: autoDraw = True
60.5732 	EXP 	Fixation: autoDraw = False
60.8568 	EXP 	grating: autoDraw = False
60.8651 	EXP 	New trial (rep=34, index=0): None
60.8689 	DATA 	Keypress: up
60.8740 	EXP 	Fixation: autoDraw = False
60.8740 	EXP 	grating: autoDraw = False
60.8740 	EXP 	grating: ori = 0.0
60.8740 	EXP 	Fixation: autoDraw = True
61.8561 	EXP 	grating: autoDraw = True
61.8733 	EXP 	Fixation: autoDraw = False
62.1363 	EXP 	New trial (rep=35, index=0): None
62.1399 	DATA 	Keypress: up
62.1443 	EXP 	Fixation: autoDraw = False
62.1443 	EXP 	grating: autoDraw = False
62.1443 	EXP 	grating: ori = -4.0
62.1443 	EXP 	Fixation: autoDraw = True
63.1298 	EXP 	grating: autoDraw = True
63.1400 	EXP 	Fixation: autoDraw = False
63.4234 	EXP 	grating: autoDraw = False
63.6861 	EXP 	New trial (rep=36, index=0): None
63.6896 	DATA 	Keypress: down
63.6939 	EXP 	Fixation: autoDraw = False
63.6939 	EXP 	grating: autoDraw = False
63.6939 	EXP 	grating: ori = -3.0
63.6939 	EXP 	Fixation: autoDraw = True
64.6809 	EXP 	grating: autoDraw = True
64.6895 	EXP 	Fixation: autoDraw = False
64.9791 	EXP 	grating: autoDraw = False
65.1371 	EXP 	New trial (rep=37, index=0): None
65.1406 	DATA 	Keypress: up
65.1448 	EXP 	Fixation: autoDraw = False
65.1448 	EXP 	grating: autoDraw = False
65.1448 	EXP 	grating: ori = 0.0
65.1448 	EXP 	Fixation: autoDraw = True
66.1308 	EXP 	grating: autoDraw = True
66.1396 	EXP 	Fixation: autoDraw = False
66.4294 	EXP 	grating: autoDraw = False
66.4815 	EXP 	New trial (rep=38, index=0): None
66.4851 	DATA 	Keypress: up
66.4904 	EXP 	Fixation: autoDraw = False
66.4904 	EXP 	grating: autoDraw = False
